project_id,project_name,project_number,land_required_ha,land_available_ha,land_to_acquire_ha,land_acquired_ha,survey_count,surveyed_area_ha,private_area_ha,government_area_ha,private_land_pct,government_land_pct,village_count,district_count,urban_survey_count,urban_survey_pct,wet_survey_count,wet_land_pct,party_record_count,owner_record_count,affected_party_count,affected_party_rate_pct,party_area_numeric_count,party_area_missing_count,party_area_total_ha,party_area_mean_ha,party_area_max_ha,acquisition_completion_pct,surveyed_vs_land_to_acquire_pct,parties_per_survey,owners_per_survey
54635,Widening the existing lane to two lane paved shoulder from km 239.900 to 294.300 (Nayagarh to Khordha) on NH-57 in the state of Odisha विडेनिंग थे एक्सिस्टिंग लेन तो तवो लेन पवेद शोल्डर फ्रॉम कम 239.९०० तो 294.३०० (नयागढ़ तो Khordha) ों NH-५७ इन थे स्टेट ऑफ़ ओडिशा,MO/2018/54635,22.0,0.0,22.0,0.5415,380,19.632638199999995,17.3643593,2.2682789,88.44638770962531,11.55361229037471,6,2,0,0.0,380,100.0,609,593,16,2.6272577996715927,585,24,27.125991999999997,0.04636921709401709,1.86162,2.461363636363636,89.23926454545452,1.6026315789473684,1.5605263157894738
59362,Test Project 3A टेस्ट प्रोजेक्ट ३ा,MO/2020/59362,100.0,30.0,70.0,0.0,0,,,,,,0,0,0,,0,,0,0,0,,0,0,,,,0.0,,,
60432,Development & Construction from Km 0.000 to 60.400(Nagaon to Lumding Section) NH-27(Old NH -54) under Hojai District in the state of Assam. असम राज्य में होजई जिले के अंतर्गत किमी 0.000 से 60.400 (नगांव से लामडिंग खंड) NH-27 (पुराना NH -54) तक विकास और निर्माण।,NI/2022/60432,30.6,20.1,10.5,0.0,0,,,,,,0,0,0,,0,,0,0,0,,0,0,,,,0.0,,,
60681,Development & Construction from Km 204.400 to 231.000 of NH-37 under Morigaon District in the state of Assam. असम राज्य में मोरीगांव जिले के अंतर्गत किमी 204.400 से 231.000 NH-37 तक विकास और निर्माण।,NI/2022/60681,58.323,21.222078,37.100922,0.040136,3,0.357198,0.357198,0.0,100.0,0.0,1,1,3,100.0,3,100.0,3,3,0,0.0,3,0,0.357198,0.119066,0.301006,0.10818059993226044,0.962773917047129,1.0,1.0
61053,Rehabilitation and up-gradation of NH-727B of Km. 0.000 to Km. 52.345 (Tamkuhiraj to Majhauli) on EPC mode in the state of Uttar Pradesh and Bihar. उत्तर प्रदेश और बिहार राज्य के अंतर्गत एनएच-727बी (तमकुहीराज से मझौली) कि.मी. 0.000 से कि.मी. 52.345 तक के निर्माण/चौड़ीकरण का कार्य ईपीसी मोड पर।,MO/2023/61053,100.0,10.0,90.0,0.118,125,8.6973,7.7486999999999995,0.9486000000000002,89.09316684488289,10.906833155117107,5,1,0,0.0,125,100.0,139,130,9,6.474820143884892,130,9,8.9850894,0.0691160723076923,0.425,0.1311111111111111,9.663666666666668,1.112,1.04
